,SiteName,LocationName,GenericLocation,Session,OrdSession,RevenueType,Wine,Date,Day,OrdDay,Revenue
265,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-10,Saturday,6_Saturday,3670.4600000000005
266,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-15,Thursday,4_Thursday,549.91
267,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-16,Friday,5_Friday,2909.18
268,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-17,Saturday,6_Saturday,2201.54
269,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-22,Thursday,4_Thursday,892.32
270,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-23,Friday,5_Friday,1139.4899999999998
271,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-24,Saturday,6_Saturday,2483.46
272,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-29,Thursday,4_Thursday,573.89
273,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-30,Friday,5_Friday,1835.0099999999998
274,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-31,Saturday,6_Saturday,3286.91
275,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-11-04,Wednesday,3_Wednesday,2776.54
276,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-12-03,Thursday,4_Thursday,1174.7799999999997
277,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-12-04,Friday,5_Friday,3867.05
278,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-12-05,Saturday,6_Saturday,4378.249999999999
431,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-01,Friday,5_Friday,3061.24
432,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-02,Saturday,6_Saturday,4952.52
433,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-05,Tuesday,2_Tuesday,740.8
434,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-06,Wednesday,3_Wednesday,554.12
435,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-07,Thursday,4_Thursday,3483.7299999999996
436,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-08,Friday,5_Friday,2733.75
437,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-09,Saturday,6_Saturday,7227.110000000001
438,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-10,Sunday,7_Sunday,79.18
439,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-12,Tuesday,2_Tuesday,246.20999999999998
440,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-13,Wednesday,3_Wednesday,1322.8400000000001
441,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-15,Friday,5_Friday,3026.31
442,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-16,Saturday,6_Saturday,4834.87
443,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-19,Tuesday,2_Tuesday,627.1000000000001
444,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-20,Wednesday,3_Wednesday,1201.25
445,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-21,Thursday,4_Thursday,3442.0299999999997
446,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-22,Friday,5_Friday,4589.18
447,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-23,Saturday,6_Saturday,6063.759999999999
448,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-26,Tuesday,2_Tuesday,967.0500000000001
449,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-27,Wednesday,3_Wednesday,2585.44
450,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-28,Thursday,4_Thursday,5089.61
451,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-29,Friday,5_Friday,3643.84
452,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-11-30,Saturday,6_Saturday,5106.99
453,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-12-02,Monday,1_Monday,466.26000000000005
454,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-12-04,Wednesday,3_Wednesday,5739.17
455,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-12-05,Thursday,4_Thursday,10401.710000000001
456,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-12-06,Friday,5_Friday,7028.9
457,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-12-07,Saturday,6_Saturday,5289.21
458,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2019-12-09,Monday,1_Monday,789.98
537,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-01,Thursday,4_Thursday,351.22999999999996
538,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-02,Friday,5_Friday,911.62
539,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-03,Saturday,6_Saturday,1944.35
540,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-04,Sunday,7_Sunday,3012.43
541,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-08,Thursday,4_Thursday,253.33
542,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-09,Friday,5_Friday,1498.3
543,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-10,Saturday,6_Saturday,1676.4900000000002
544,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-15,Thursday,4_Thursday,435.71999999999997
545,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-16,Friday,5_Friday,1928.73
546,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-17,Saturday,6_Saturday,1222.62
547,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-22,Thursday,4_Thursday,949.95
548,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-23,Friday,5_Friday,856.95
549,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-24,Saturday,6_Saturday,1049.05
550,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-29,Thursday,4_Thursday,650.75
551,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-30,Friday,5_Friday,905.25
552,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-10-31,Saturday,6_Saturday,1768.7
553,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-11-04,Wednesday,3_Wednesday,1738.4099999999999
554,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-12-03,Thursday,4_Thursday,929.5899999999999
555,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-12-04,Friday,5_Friday,2179.21
556,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Wine,2020-12-05,Saturday,6_Saturday,2800.1
707,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-01,Friday,5_Friday,-378.14
708,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-02,Saturday,6_Saturday,-119.98
709,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-04,Monday,1_Monday,0.0
710,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-05,Tuesday,2_Tuesday,-209.22
711,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-06,Wednesday,3_Wednesday,-181.9
712,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-07,Thursday,4_Thursday,-132.84
713,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-08,Friday,5_Friday,-405.94
714,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-09,Saturday,6_Saturday,-778.74
715,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-12,Tuesday,2_Tuesday,-298.45
716,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-13,Wednesday,3_Wednesday,-383.31
717,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-15,Friday,5_Friday,-426.17999999999995
718,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-16,Saturday,6_Saturday,-247.45000000000002
719,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-19,Tuesday,2_Tuesday,-786.46
720,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-20,Wednesday,3_Wednesday,-748.37
721,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-21,Thursday,4_Thursday,-304.48
722,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-22,Friday,5_Friday,-376.3
723,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-23,Saturday,6_Saturday,-119.22
724,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-26,Tuesday,2_Tuesday,-448.72
725,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-27,Wednesday,3_Wednesday,-6.9
726,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-28,Thursday,4_Thursday,-333.16
727,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-29,Friday,5_Friday,-393.87
728,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-11-30,Saturday,6_Saturday,-79.56
729,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-12-02,Monday,1_Monday,-284.58000000000004
730,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-12-06,Friday,5_Friday,-331.64
731,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-12-07,Saturday,6_Saturday,-45.84
732,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2019-12-09,Monday,1_Monday,-146.38
812,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-01,Thursday,4_Thursday,-81.97
813,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-03,Saturday,6_Saturday,-248.56
814,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-04,Sunday,7_Sunday,-331.29
815,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-08,Thursday,4_Thursday,-185.17000000000002
816,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-10,Saturday,6_Saturday,-32.660000000000004
817,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-15,Thursday,4_Thursday,-399.73999999999995
818,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-16,Friday,5_Friday,-120.64
819,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-17,Saturday,6_Saturday,0.0
820,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-22,Thursday,4_Thursday,-247.71
821,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-23,Friday,5_Friday,-0.01
822,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-24,Saturday,6_Saturday,-286.77
823,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-29,Thursday,4_Thursday,-29.89
824,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-30,Friday,5_Friday,-570.3
825,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-10-31,Saturday,6_Saturday,-159.5
826,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-11-01,Sunday,7_Sunday,-84.64
827,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-11-04,Wednesday,3_Wednesday,-58.99
828,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-12-03,Thursday,4_Thursday,-116.11000000000001
829,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-12-04,Friday,5_Friday,-53.56
830,100 Wardour Street,Club,Restaurant,Dinner,3,Discounts,Non-Wine,2020-12-05,Saturday,6_Saturday,-169.44
985,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-01,Friday,5_Friday,8300.5
986,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-02,Saturday,6_Saturday,10662.51
987,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-05,Tuesday,2_Tuesday,1815.9
988,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-06,Wednesday,3_Wednesday,1460.83
989,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-07,Thursday,4_Thursday,4777.14
990,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-08,Friday,5_Friday,7716.969999999999
991,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-09,Saturday,6_Saturday,11318.06
992,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-10,Sunday,7_Sunday,143.34
993,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-12,Tuesday,2_Tuesday,1016.53
994,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-13,Wednesday,3_Wednesday,3751.97
995,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-15,Friday,5_Friday,8504.89
996,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-16,Saturday,6_Saturday,11037.91
997,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-19,Tuesday,2_Tuesday,2288.9199999999996
998,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-20,Wednesday,3_Wednesday,2887.0699999999997
999,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-21,Thursday,4_Thursday,7158.62
1000,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-22,Friday,5_Friday,11109.9
1001,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-23,Saturday,6_Saturday,12170.81
1002,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-26,Tuesday,2_Tuesday,2358.0399999999995
1003,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-27,Wednesday,3_Wednesday,5810.11
1004,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-28,Thursday,4_Thursday,9008.519999999999
1005,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-29,Friday,5_Friday,9921.089999999998
1006,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-11-30,Saturday,6_Saturday,11624.09
1007,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-12-02,Monday,1_Monday,2344.65
1008,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-12-04,Wednesday,3_Wednesday,8609.96
1009,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-12-05,Thursday,4_Thursday,11303.29
1010,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-12-06,Friday,5_Friday,15150.95
1011,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-12-07,Saturday,6_Saturday,14119.56
1012,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2019-12-09,Monday,1_Monday,3458.48
1091,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-01,Thursday,4_Thursday,968.9999999999999
1092,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-02,Friday,5_Friday,3378.38
1093,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-03,Saturday,6_Saturday,5462.740000000001
1094,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-04,Sunday,7_Sunday,3028.4000000000005
1095,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-08,Thursday,4_Thursday,1160.21
1096,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-09,Friday,5_Friday,3819.49
1097,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-10,Saturday,6_Saturday,6632.23
1098,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-15,Thursday,4_Thursday,1693.22
1099,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-16,Friday,5_Friday,6113.44
1100,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-17,Saturday,6_Saturday,3839.38
1101,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-22,Thursday,4_Thursday,1850.8700000000003
1102,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-23,Friday,5_Friday,2032.6200000000001
1103,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-24,Saturday,6_Saturday,4166.76
1104,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-29,Thursday,4_Thursday,1595.01
1105,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-30,Friday,5_Friday,3218.8399999999997
1106,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-10-31,Saturday,6_Saturday,5049.179999999999
1107,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-11-04,Wednesday,3_Wednesday,3418.5500000000006
1108,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-12-03,Thursday,4_Thursday,2292.2400000000002
1109,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-12-04,Friday,5_Friday,6852.070000000001
1110,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Non-Wine,2020-12-05,Saturday,6_Saturday,8990.07
1154,100 Wardour Street,Club,Restaurant,Dinner,3,Food,Wine,2019-11-22,Friday,5_Friday,5.0
1199,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-11-02,Saturday,6_Saturday,1122.49
1200,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-11-03,Sunday,7_Sunday,241.57000000000002
1201,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-11-09,Saturday,6_Saturday,947.9100000000001
1202,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-11-10,Sunday,7_Sunday,183.76999999999998
1203,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-11-16,Saturday,6_Saturday,852.6700000000001
1204,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-11-17,Sunday,7_Sunday,396.88
1205,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-11-23,Saturday,6_Saturday,740.99
1206,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-11-24,Sunday,7_Sunday,342.11999999999995
1207,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-11-30,Saturday,6_Saturday,1295.03
1208,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-12-01,Sunday,7_Sunday,145.82999999999998
1209,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-12-04,Wednesday,3_Wednesday,271.44
1210,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-12-05,Thursday,4_Thursday,1832.3899999999999
1211,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-12-06,Friday,5_Friday,553.3
1212,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-12-07,Saturday,6_Saturday,1732.95
1213,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2019-12-08,Sunday,7_Sunday,2084.3199999999997
1258,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2020-10-03,Saturday,6_Saturday,2097.99
1259,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2020-10-04,Sunday,7_Sunday,279.43
1260,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2020-10-10,Saturday,6_Saturday,925.82
1261,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2020-10-11,Sunday,7_Sunday,422.84000000000003
1262,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2020-10-17,Saturday,6_Saturday,554.12
1263,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2020-10-18,Sunday,7_Sunday,491.5
1264,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2020-10-24,Saturday,6_Saturday,1024.1100000000001
1265,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2020-10-25,Sunday,7_Sunday,638.44
1266,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2020-10-31,Saturday,6_Saturday,913.95
1267,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2020-12-05,Saturday,6_Saturday,954.86
1268,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Non-Wine,2020-12-06,Sunday,7_Sunday,711.44
1309,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Wine,2019-11-02,Saturday,6_Saturday,4863.88
1310,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Wine,2019-11-03,Sunday,7_Sunday,1124.22
1311,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Wine,2019-11-09,Saturday,6_Saturday,5286.41
1312,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Wine,2019-11-10,Sunday,7_Sunday,476.29999999999995
1313,100 Wardour Street,Club,Restaurant,Lunch,2,Beverage,Wine,2019-11-12,Tuesday,2_Tuesday,13.32
