,Restaurant,As Of Day,Days Before Week Commencing,Reservation Week,Covers,Table,Week,Color,Alpha
62,Group,Wednesday,5,48,149.0,This Week Pickup,2 Weeks Ago,Blue,0.8
64,Group,Wednesday,5,50,14192.0,This Week Pickup,This Week,Red,1.0
65,Group,Wednesday,5,49,8811.0,This Week Pickup,Last Week,Orange,1.0
66,Group,Wednesday,5,46,1869.0,This Week Pickup,4 Weeks Ago,Blue,0.4
67,Group,Wednesday,5,47,302.0,This Week Pickup,3 Weeks Ago,Blue,0.6
68,Group,Thursday,4,46,1466.0,This Week Pickup,4 Weeks Ago,Blue,0.4
69,Group,Thursday,4,47,212.0,This Week Pickup,3 Weeks Ago,Blue,0.6
70,Group,Thursday,4,48,149.0,This Week Pickup,2 Weeks Ago,Blue,0.8
71,Group,Thursday,4,49,9701.0,This Week Pickup,Last Week,Orange,1.0
72,Group,Thursday,4,50,15686.0,This Week Pickup,This Week,Red,1.0
75,Group,Friday,3,46,1305.0,This Week Pickup,4 Weeks Ago,Blue,0.4
76,Group,Friday,3,47,212.0,This Week Pickup,3 Weeks Ago,Blue,0.6
77,Group,Friday,3,48,149.0,This Week Pickup,2 Weeks Ago,Blue,0.8
78,Group,Friday,3,50,16593.0,This Week Pickup,This Week,Red,1.0
80,Group,Saturday,2,48,149.0,This Week Pickup,2 Weeks Ago,Blue,0.8
82,Group,Saturday,2,46,946.0,This Week Pickup,4 Weeks Ago,Blue,0.4
83,Group,Saturday,2,47,212.0,This Week Pickup,3 Weeks Ago,Blue,0.6
84,Group,Saturday,2,49,10599.0,This Week Pickup,Last Week,Orange,1.0
85,Group,Saturday,2,50,17682.0,This Week Pickup,This Week,Red,1.0
88,Group,Sunday,1,50,18415.0,This Week Pickup,This Week,Red,1.0
89,Group,Sunday,1,45,10310.0,This Week Pickup,5 Weeks Ago,Blue,0.2
90,Group,Sunday,1,48,149.0,This Week Pickup,2 Weeks Ago,Blue,0.8
91,Group,Sunday,1,46,946.0,This Week Pickup,4 Weeks Ago,Blue,0.4
92,Group,Sunday,1,49,11224.0,This Week Pickup,Last Week,Orange,1.0
93,Group,Sunday,1,47,212.0,This Week Pickup,3 Weeks Ago,Blue,0.6
94,Group,Monday,0,50,19367.0,This Week Pickup,This Week,Red,1.0
95,Group,Monday,0,49,12013.0,This Week Pickup,Last Week,Orange,1.0
96,Group,Monday,0,48,144.0,This Week Pickup,2 Weeks Ago,Blue,0.8
97,Group,Monday,0,46,937.0,This Week Pickup,4 Weeks Ago,Blue,0.4
98,Group,Monday,0,45,10149.0,This Week Pickup,5 Weeks Ago,Blue,0.2
101,Group,Monday,0,47,212.0,This Week Pickup,3 Weeks Ago,Blue,0.6
103,Group,Tuesday,-1,50,20657.0,This Week Pickup,This Week,Red,1.0
104,Group,Tuesday,-1,49,13057.0,This Week Pickup,Last Week,Orange,1.0
105,Group,Tuesday,-1,48,133.0,This Week Pickup,2 Weeks Ago,Blue,0.8
106,Group,Tuesday,-1,47,203.0,This Week Pickup,3 Weeks Ago,Blue,0.6
107,Group,Tuesday,-1,46,463.0,This Week Pickup,4 Weeks Ago,Blue,0.4
108,Group,Tuesday,-1,45,10060.0,This Week Pickup,5 Weeks Ago,Blue,0.2
109,Orrery,Monday,14,49,21.0,This Week Pickup,Last Week,Orange,1.0
110,Bluebird Chelsea Private Dining,Monday,14,50,104.0,This Week Pickup,This Week,Red,1.0
111,Bluebird Chelsea Private Dining,Monday,14,45,16.0,This Week Pickup,5 Weeks Ago,Blue,0.2
114,Quaglino's,Monday,14,45,145.0,This Week Pickup,5 Weeks Ago,Blue,0.2
115,Quaglino's,Monday,14,47,93.0,This Week Pickup,3 Weeks Ago,Blue,0.6
116,Quaglino's,Monday,14,48,35.0,This Week Pickup,2 Weeks Ago,Blue,0.8
117,Quaglino's,Monday,14,49,154.0,This Week Pickup,Last Week,Orange,1.0
119,100 Wardour St Lounge Bar,Monday,14,45,51.0,This Week Pickup,5 Weeks Ago,Blue,0.2
120,100 Wardour St Lounge Bar,Monday,14,47,51.0,This Week Pickup,3 Weeks Ago,Blue,0.6
121,100 Wardour St Lounge Bar,Monday,14,48,6.0,This Week Pickup,2 Weeks Ago,Blue,0.8
122,100 Wardour St Lounge Bar,Monday,14,49,25.0,This Week Pickup,Last Week,Orange,1.0
123,100 Wardour St Lounge Bar,Monday,14,50,27.0,This Week Pickup,This Week,Red,1.0
124,100 Wardour St Lounge Bar,Monday,14,51,27.0,This Week Pickup,Next Week,Purple,1.0
125,100 Wardour St Lounge Bar,Monday,14,52,12.0,This Week Pickup,2 Weeks Time,Black,1.0
126,Quaglino's,Monday,14,50,292.0,This Week Pickup,This Week,Red,1.0
127,New Street Grill,Monday,14,52,213.0,This Week Pickup,2 Weeks Time,Black,1.0
128,Quaglino's,Monday,14,51,349.0,This Week Pickup,Next Week,Purple,1.0
129,Quaglino's,Monday,14,52,316.0,This Week Pickup,2 Weeks Time,Black,1.0
130,Orrery,Monday,14,48,4.0,This Week Pickup,2 Weeks Ago,Blue,0.8
131,New Street Grill,Monday,14,51,349.0,This Week Pickup,Next Week,Purple,1.0
132,New Street Grill,Monday,14,50,302.0,This Week Pickup,This Week,Red,1.0
133,New Street Grill,Monday,14,49,163.0,This Week Pickup,Last Week,Orange,1.0
135,Plateau,Monday,14,45,64.0,This Week Pickup,5 Weeks Ago,Blue,0.2
136,Plateau,Monday,14,48,12.0,This Week Pickup,2 Weeks Ago,Blue,0.8
137,New Street Grill,Monday,14,48,27.0,This Week Pickup,2 Weeks Ago,Blue,0.8
138,Bluebird Chelsea Private Dining,Monday,14,47,65.0,This Week Pickup,3 Weeks Ago,Blue,0.6
139,Bluebird Chelsea Private Dining,Monday,14,51,29.0,This Week Pickup,Next Week,Purple,1.0
140,Butlers Wharf Chophouse Restaurant,Monday,14,50,117.0,This Week Pickup,This Week,Red,1.0
141,Blueprint Cafe,Monday,14,49,100.0,This Week Pickup,Last Week,Orange,1.0
142,Radici,Monday,14,52,52.0,This Week Pickup,2 Weeks Time,Black,1.0
143,Radici,Monday,14,51,51.0,This Week Pickup,Next Week,Purple,1.0
144,Radici,Monday,14,50,68.0,This Week Pickup,This Week,Red,1.0
145,Radici,Monday,14,49,30.0,This Week Pickup,Last Week,Orange,1.0
146,Radici,Monday,14,45,29.0,This Week Pickup,5 Weeks Ago,Blue,0.2
148,Angler Restaurant,Monday,14,52,61.0,This Week Pickup,2 Weeks Time,Black,1.0
149,Angler Restaurant,Monday,14,51,120.0,This Week Pickup,Next Week,Purple,1.0
150,Angler Restaurant,Monday,14,50,88.0,This Week Pickup,This Week,Red,1.0
151,Angler Restaurant,Monday,14,49,55.0,This Week Pickup,Last Week,Orange,1.0
152,Angler Restaurant,Monday,14,47,72.0,This Week Pickup,3 Weeks Ago,Blue,0.6
153,Butlers Wharf Chophouse Restaurant,Monday,14,47,44.0,This Week Pickup,3 Weeks Ago,Blue,0.6
154,Butlers Wharf Chophouse Restaurant,Monday,14,45,49.0,This Week Pickup,5 Weeks Ago,Blue,0.2
156,Angler Restaurant,Monday,14,45,34.0,This Week Pickup,5 Weeks Ago,Blue,0.2
158,Bluebird Chelsea Restaurant,Monday,14,50,307.0,This Week Pickup,This Week,Red,1.0
159,Bluebird Chelsea Restaurant,Monday,14,51,559.0,This Week Pickup,Next Week,Purple,1.0
161,Fish Market,Monday,14,45,237.0,This Week Pickup,5 Weeks Ago,Blue,0.2
162,Fish Market,Monday,14,47,173.0,This Week Pickup,3 Weeks Ago,Blue,0.6
163,Fish Market,Monday,14,49,316.0,This Week Pickup,Last Week,Orange,1.0
164,Fish Market,Monday,14,50,527.0,This Week Pickup,This Week,Red,1.0
165,Bluebird Chelsea Restaurant,Monday,14,52,426.0,This Week Pickup,2 Weeks Time,Black,1.0
166,Fish Market,Monday,14,51,793.0,This Week Pickup,Next Week,Purple,1.0
167,Issho Restaurant,Monday,14,45,4.0,This Week Pickup,5 Weeks Ago,Blue,0.2
168,Fish Market,Monday,14,52,684.0,This Week Pickup,2 Weeks Time,Black,1.0
169,Bluebird Chelsea Cafe,Monday,14,45,8.0,This Week Pickup,5 Weeks Ago,Blue,0.2
170,Bluebird Chelsea Cafe,Monday,14,48,16.0,This Week Pickup,2 Weeks Ago,Blue,0.8
171,Bluebird Chelsea Cafe,Monday,14,50,21.0,This Week Pickup,This Week,Red,1.0
172,Fiume,Monday,14,45,12.0,This Week Pickup,5 Weeks Ago,Blue,0.2
173,Bluebird White City,Monday,14,45,25.0,This Week Pickup,5 Weeks Ago,Blue,0.2
176,Angelica,Monday,14,52,64.0,This Week Pickup,2 Weeks Time,Black,1.0
177,Angelica,Monday,14,51,77.0,This Week Pickup,Next Week,Purple,1.0
178,Angelica,Monday,14,50,46.0,This Week Pickup,This Week,Red,1.0
179,Angelica,Monday,14,49,59.0,This Week Pickup,Last Week,Orange,1.0
180,Angelica,Monday,14,47,51.0,This Week Pickup,3 Weeks Ago,Blue,0.6
181,Angelica,Monday,14,45,64.0,This Week Pickup,5 Weeks Ago,Blue,0.2
183,Madison Restaurant,Monday,14,51,6.0,This Week Pickup,Next Week,Purple,1.0
185,Madison Restaurant,Monday,14,47,2.0,This Week Pickup,3 Weeks Ago,Blue,0.6
187,Issho,Monday,14,45,100.0,This Week Pickup,5 Weeks Ago,Blue,0.2
188,Issho,Monday,14,47,35.0,This Week Pickup,3 Weeks Ago,Blue,0.6
189,Issho,Monday,14,48,0.0,This Week Pickup,2 Weeks Ago,Blue,0.8
190,Issho,Monday,14,49,142.0,This Week Pickup,Last Week,Orange,1.0
191,Issho,Monday,14,50,216.0,This Week Pickup,This Week,Red,1.0
192,Issho,Monday,14,52,443.0,This Week Pickup,2 Weeks Time,Black,1.0
193,Issho,Monday,14,51,465.0,This Week Pickup,Next Week,Purple,1.0
195,14 Hills,Monday,14,45,385.0,This Week Pickup,5 Weeks Ago,Blue,0.2
196,14 Hills,Monday,14,47,217.0,This Week Pickup,3 Weeks Ago,Blue,0.6
197,14 Hills,Monday,14,49,387.0,This Week Pickup,Last Week,Orange,1.0
198,14 Hills,Monday,14,50,418.0,This Week Pickup,This Week,Red,1.0
199,14 Hills,Monday,14,51,744.0,This Week Pickup,Next Week,Purple,1.0
200,Bluebird White City,Monday,14,47,6.0,This Week Pickup,3 Weeks Ago,Blue,0.6
201,Bluebird White City,Monday,14,48,5.0,This Week Pickup,2 Weeks Ago,Blue,0.8
202,Bluebird White City,Monday,14,49,6.0,This Week Pickup,Last Week,Orange,1.0
203,Quaglino's Restaurant,Monday,14,49,34.0,This Week Pickup,Last Week,Orange,1.0
205,German Gymnasium,Monday,14,45,160.0,This Week Pickup,5 Weeks Ago,Blue,0.2
206,German Gymnasium,Monday,14,47,121.0,This Week Pickup,3 Weeks Ago,Blue,0.6
207,German Gymnasium,Monday,14,48,14.0,This Week Pickup,2 Weeks Ago,Blue,0.8
208,Quaglino's Restaurant,Monday,14,52,48.0,This Week Pickup,2 Weeks Time,Black,1.0
209,Quaglino's Restaurant,Monday,14,51,23.0,This Week Pickup,Next Week,Purple,1.0
210,Quaglino's Restaurant,Monday,14,50,27.0,This Week Pickup,This Week,Red,1.0
211,German Gymnasium,Monday,14,49,260.0,This Week Pickup,Last Week,Orange,1.0
212,German Gymnasium,Monday,14,50,301.0,This Week Pickup,This Week,Red,1.0
213,German Gymnasium,Monday,14,51,350.0,This Week Pickup,Next Week,Purple,1.0
214,German Gymnasium,Monday,14,52,233.0,This Week Pickup,2 Weeks Time,Black,1.0
215,Plateau,Monday,14,49,129.0,This Week Pickup,Last Week,Orange,1.0
216,Quaglino's Restaurant,Monday,14,48,10.0,This Week Pickup,2 Weeks Ago,Blue,0.8
217,New Street Grill,Monday,14,45,63.0,This Week Pickup,5 Weeks Ago,Blue,0.2
218,Quaglino's Restaurant,Monday,14,47,20.0,This Week Pickup,3 Weeks Ago,Blue,0.6
219,Quaglino's Restaurant,Monday,14,45,20.0,This Week Pickup,5 Weeks Ago,Blue,0.2
221,Plateau,Monday,14,50,455.0,This Week Pickup,This Week,Red,1.0
222,Bluebird White City,Monday,14,52,6.0,This Week Pickup,2 Weeks Time,Black,1.0
223,Bluebird White City,Monday,14,51,6.0,This Week Pickup,Next Week,Purple,1.0
224,Bluebird White City,Monday,14,50,6.0,This Week Pickup,This Week,Red,1.0
225,Plateau,Monday,14,51,299.0,This Week Pickup,Next Week,Purple,1.0
226,Plateau,Monday,14,52,110.0,This Week Pickup,2 Weeks Time,Black,1.0
227,Bluebird Chelsea Cafe,Monday,14,51,15.0,This Week Pickup,Next Week,Purple,1.0
228,Bluebird Chelsea Cafe,Monday,14,52,14.0,This Week Pickup,2 Weeks Time,Black,1.0
229,New Street Grill,Monday,14,47,93.0,This Week Pickup,3 Weeks Ago,Blue,0.6
230,Butlers Wharf Chophouse Restaurant,Monday,14,49,127.0,This Week Pickup,Last Week,Orange,1.0
231,Radici,Monday,14,47,23.0,This Week Pickup,3 Weeks Ago,Blue,0.6
232,Butlers Wharf Chophouse Restaurant,Monday,14,51,126.0,This Week Pickup,Next Week,Purple,1.0
235,20 Stories,Monday,14,45,452.0,This Week Pickup,5 Weeks Ago,Blue,0.2
236,20 Stories,Monday,14,47,307.0,This Week Pickup,3 Weeks Ago,Blue,0.6
237,Old Bengal Bar,Monday,14,52,15.0,This Week Pickup,2 Weeks Time,Black,1.0
238,Old Bengal Bar,Monday,14,51,56.0,This Week Pickup,Next Week,Purple,1.0
239,Old Bengal Bar,Monday,14,50,42.0,This Week Pickup,This Week,Red,1.0
240,Old Bengal Bar,Monday,14,49,71.0,This Week Pickup,Last Week,Orange,1.0
241,Old Bengal Bar,Monday,14,47,24.0,This Week Pickup,3 Weeks Ago,Blue,0.6
242,20 Stories,Monday,14,49,665.0,This Week Pickup,Last Week,Orange,1.0
243,20 Stories,Monday,14,50,676.0,This Week Pickup,This Week,Red,1.0
244,20 Stories,Monday,14,51,796.0,This Week Pickup,Next Week,Purple,1.0
245,20 Stories,Monday,14,52,534.0,This Week Pickup,2 Weeks Time,Black,1.0
246,Pont de la Tour,Monday,14,50,74.0,This Week Pickup,This Week,Red,1.0
247,Issho Restaurant,Monday,14,52,14.0,This Week Pickup,2 Weeks Time,Black,1.0
248,Issho Restaurant,Monday,14,51,14.0,This Week Pickup,Next Week,Purple,1.0
250,Crafthouse,Monday,14,45,5.0,This Week Pickup,5 Weeks Ago,Blue,0.2
251,Crafthouse,Monday,14,47,8.0,This Week Pickup,3 Weeks Ago,Blue,0.6
252,Sartoria,Monday,14,52,36.0,This Week Pickup,2 Weeks Time,Black,1.0
253,Sartoria,Monday,14,51,64.0,This Week Pickup,Next Week,Purple,1.0
254,Sartoria,Monday,14,50,57.0,This Week Pickup,This Week,Red,1.0
255,Sartoria,Monday,14,49,12.0,This Week Pickup,Last Week,Orange,1.0
256,Crafthouse,Monday,14,49,12.0,This Week Pickup,Last Week,Orange,1.0
257,Crafthouse,Monday,14,50,9.0,This Week Pickup,This Week,Red,1.0
258,Crafthouse,Monday,14,51,14.0,This Week Pickup,Next Week,Purple,1.0
259,Crafthouse,Monday,14,52,5.0,This Week Pickup,2 Weeks Time,Black,1.0
260,Issho Restaurant,Monday,14,50,11.0,This Week Pickup,This Week,Red,1.0
261,Butlers Wharf Chophouse Restaurant,Monday,14,52,222.0,This Week Pickup,2 Weeks Time,Black,1.0
262,Sartoria,Monday,14,47,15.0,This Week Pickup,3 Weeks Ago,Blue,0.6
263,Pont de la Tour,Monday,14,51,60.0,This Week Pickup,Next Week,Purple,1.0
264,Pont de la Tour,Monday,14,52,19.0,This Week Pickup,2 Weeks Time,Black,1.0
266,Aster,Monday,14,47,11.0,This Week Pickup,3 Weeks Ago,Blue,0.6
267,Coq d’Argent,Monday,14,52,298.0,This Week Pickup,2 Weeks Time,Black,1.0
268,Coq d’Argent,Monday,14,51,1110.0,This Week Pickup,Next Week,Purple,1.0
269,Coq d’Argent,Monday,14,50,749.0,This Week Pickup,This Week,Red,1.0
270,Coq d’Argent,Monday,14,49,396.0,This Week Pickup,Last Week,Orange,1.0
271,Coq d’Argent,Monday,14,48,77.0,This Week Pickup,2 Weeks Ago,Blue,0.8
272,Coq d’Argent,Monday,14,47,319.0,This Week Pickup,3 Weeks Ago,Blue,0.6
273,Coq d’Argent,Monday,14,45,232.0,This Week Pickup,5 Weeks Ago,Blue,0.2
275,Aster,Monday,14,52,13.0,This Week Pickup,2 Weeks Time,Black,1.0
276,Aster,Monday,14,51,39.0,This Week Pickup,Next Week,Purple,1.0
277,Aster,Monday,14,50,36.0,This Week Pickup,This Week,Red,1.0
278,Aster,Monday,14,49,44.0,This Week Pickup,Last Week,Orange,1.0
279,Aster,Monday,14,48,12.0,This Week Pickup,2 Weeks Ago,Blue,0.8
280,Aster,Monday,14,45,38.0,This Week Pickup,5 Weeks Ago,Blue,0.2
281,Orrery,Monday,14,45,32.0,This Week Pickup,5 Weeks Ago,Blue,0.2
283,Orrery,Monday,14,50,41.0,This Week Pickup,This Week,Red,1.0
284,Orrery,Monday,14,51,40.0,This Week Pickup,Next Week,Purple,1.0
285,Orrery,Monday,14,52,21.0,This Week Pickup,2 Weeks Time,Black,1.0
286,Orrery,Monday,14,47,4.0,This Week Pickup,3 Weeks Ago,Blue,0.6
288,100 Wardour St,Monday,14,45,507.0,This Week Pickup,5 Weeks Ago,Blue,0.2
289,100 Wardour St,Monday,14,47,371.0,This Week Pickup,3 Weeks Ago,Blue,0.6
290,100 Wardour St,Monday,14,48,184.0,This Week Pickup,2 Weeks Ago,Blue,0.8
291,100 Wardour St,Monday,14,49,499.0,This Week Pickup,Last Week,Orange,1.0
292,100 Wardour St,Monday,14,50,598.0,This Week Pickup,This Week,Red,1.0
293,100 Wardour St,Monday,14,51,841.0,This Week Pickup,Next Week,Purple,1.0
294,100 Wardour St,Monday,14,52,186.0,This Week Pickup,2 Weeks Time,Black,1.0
295,Sartoria,Monday,14,45,31.0,This Week Pickup,5 Weeks Ago,Blue,0.2
296,Sartoria,Monday,14,48,6.0,This Week Pickup,2 Weeks Ago,Blue,0.8
297,Issho Restaurant,Monday,14,49,21.0,This Week Pickup,Last Week,Orange,1.0
298,East 59th,Monday,14,50,12.0,This Week Pickup,This Week,Red,1.0
299,Avenue,Monday,14,47,19.0,This Week Pickup,3 Weeks Ago,Blue,0.6
300,Cantina del Ponte,Monday,14,52,75.0,This Week Pickup,2 Weeks Time,Black,1.0
301,Avenue,Monday,14,50,105.0,This Week Pickup,This Week,Red,1.0
303,Paternoster Chophouse,Monday,14,45,607.0,This Week Pickup,5 Weeks Ago,Blue,0.2
304,East 59th,Monday,14,47,27.0,This Week Pickup,3 Weeks Ago,Blue,0.6
306,100 Wardour St Club Bar,Monday,14,45,8.0,This Week Pickup,5 Weeks Ago,Blue,0.2
307,100 Wardour St Club Bar,Monday,14,47,30.0,This Week Pickup,3 Weeks Ago,Blue,0.6
308,100 Wardour St Club Bar,Monday,14,49,6.0,This Week Pickup,Last Week,Orange,1.0
309,100 Wardour St Club Bar,Monday,14,50,81.0,This Week Pickup,This Week,Red,1.0
310,100 Wardour St Club Bar,Monday,14,51,30.0,This Week Pickup,Next Week,Purple,1.0
311,East 59th,Monday,14,49,37.0,This Week Pickup,Last Week,Orange,1.0
312,Paternoster Chophouse,Monday,14,49,861.0,This Week Pickup,Last Week,Orange,1.0
314,Paternoster Chophouse,Monday,14,50,1227.0,This Week Pickup,This Week,Red,1.0
315,Paternoster Chophouse,Monday,14,51,1475.0,This Week Pickup,Next Week,Purple,1.0
316,Paternoster Chophouse,Monday,14,52,1097.0,This Week Pickup,2 Weeks Time,Black,1.0
317,Avenue,Monday,14,51,89.0,This Week Pickup,Next Week,Purple,1.0
318,East 59th,Monday,14,51,66.0,This Week Pickup,Next Week,Purple,1.0
319,East 59th,Monday,14,52,67.0,This Week Pickup,2 Weeks Time,Black,1.0
320,Avenue,Monday,14,52,30.0,This Week Pickup,2 Weeks Time,Black,1.0
321,New Street Wine Shop,Monday,14,52,70.0,This Week Pickup,2 Weeks Time,Black,1.0
322,New Street Wine Shop,Monday,14,51,194.0,This Week Pickup,Next Week,Purple,1.0
323,New Street Wine Shop,Monday,14,50,158.0,This Week Pickup,This Week,Red,1.0
324,New Street Wine Shop,Monday,14,49,136.0,This Week Pickup,Last Week,Orange,1.0
325,New Street Wine Shop,Monday,14,45,69.0,This Week Pickup,5 Weeks Ago,Blue,0.2
327,Avenue,Monday,14,45,63.0,This Week Pickup,5 Weeks Ago,Blue,0.2
328,Avenue,Monday,14,49,80.0,This Week Pickup,Last Week,Orange,1.0
329,Bluebird Chelsea Restaurant,Monday,14,49,284.0,This Week Pickup,Last Week,Orange,1.0
330,Launceston Place,Monday,14,47,193.0,This Week Pickup,3 Weeks Ago,Blue,0.6
331,Cantina del Ponte,Monday,14,51,54.0,This Week Pickup,Next Week,Purple,1.0
332,Cantina del Ponte,Monday,14,50,54.0,This Week Pickup,This Week,Red,1.0
333,Cantina del Ponte,Monday,14,49,35.0,This Week Pickup,Last Week,Orange,1.0
335,Bluebird Chelsea Restaurant,Monday,14,45,117.0,This Week Pickup,5 Weeks Ago,Blue,0.2
337,Launceston Place,Monday,14,45,304.0,This Week Pickup,5 Weeks Ago,Blue,0.2
338,Pont de la Tour,Monday,14,49,35.0,This Week Pickup,Last Week,Orange,1.0
339,Pont de la Tour,Monday,14,45,40.0,This Week Pickup,5 Weeks Ago,Blue,0.2
340,Cantina del Ponte,Monday,14,47,14.0,This Week Pickup,3 Weeks Ago,Blue,0.6
341,Bluebird Chelsea Restaurant,Monday,14,48,63.0,This Week Pickup,2 Weeks Ago,Blue,0.8
344,Cantina del Ponte,Monday,14,45,28.0,This Week Pickup,5 Weeks Ago,Blue,0.2
345,Bluebird Chelsea Restaurant,Monday,14,47,134.0,This Week Pickup,3 Weeks Ago,Blue,0.6
347,East 59th,Monday,14,45,16.0,This Week Pickup,5 Weeks Ago,Blue,0.2
348,Bluebird Chelsea Private Dining,Monday,14,52,24.0,This Week Pickup,2 Weeks Time,Black,1.0
349,Launceston Place,Monday,14,49,316.0,This Week Pickup,Last Week,Orange,1.0
350,14 Hills,Monday,14,52,177.0,This Week Pickup,2 Weeks Time,Black,1.0
351,Launceston Place,Monday,14,50,440.0,This Week Pickup,This Week,Red,1.0
352,Launceston Place,Monday,14,52,236.0,This Week Pickup,2 Weeks Time,Black,1.0
353,Launceston Place,Monday,14,51,584.0,This Week Pickup,Next Week,Purple,1.0
354,Plateau,Tuesday,13,49,139.0,This Week Pickup,Last Week,Orange,1.0
355,Plateau,Tuesday,13,50,473.0,This Week Pickup,This Week,Red,1.0
357,Launceston Place,Tuesday,13,47,178.0,This Week Pickup,3 Weeks Ago,Blue,0.6
359,Launceston Place,Tuesday,13,50,476.0,This Week Pickup,This Week,Red,1.0
360,Plateau,Tuesday,13,52,107.0,This Week Pickup,2 Weeks Time,Black,1.0
361,Launceston Place,Tuesday,13,49,329.0,This Week Pickup,Last Week,Orange,1.0
362,Plateau,Tuesday,13,48,12.0,This Week Pickup,2 Weeks Ago,Blue,0.8
363,Plateau,Tuesday,13,51,323.0,This Week Pickup,Next Week,Purple,1.0
364,20 Stories,Tuesday,13,50,754.0,This Week Pickup,This Week,Red,1.0
365,20 Stories,Tuesday,13,51,850.0,This Week Pickup,Next Week,Purple,1.0
366,20 Stories,Tuesday,13,52,566.0,This Week Pickup,2 Weeks Time,Black,1.0
367,20 Stories,Tuesday,13,49,693.0,This Week Pickup,Last Week,Orange,1.0
