,Restaurant,As Of Day,Days Before Week Commencing,Reservation Week,Covers,Table,Week,Color,Alpha
33,Group,Saturday,9,50,11233.0,This Week Pickup,This Week,Red,1.0
34,Group,Saturday,9,49,6711.0,This Week Pickup,Last Week,Orange,1.0
35,Group,Saturday,9,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
37,Group,Saturday,9,47,867.0,This Week Pickup,3 Weeks Ago,Blue,0.6
38,Group,Sunday,8,49,6927.0,This Week Pickup,Last Week,Orange,1.0
39,Group,Sunday,8,51,15306.0,This Week Pickup,Next Week,Purple,1.0
40,Group,Sunday,8,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
41,Group,Sunday,8,47,864.0,This Week Pickup,3 Weeks Ago,Blue,0.6
42,Group,Sunday,8,46,5161.0,This Week Pickup,4 Weeks Ago,Blue,0.4
44,Group,Sunday,8,50,11762.0,This Week Pickup,This Week,Red,1.0
46,Group,Monday,7,50,12392.0,This Week Pickup,This Week,Red,1.0
47,Group,Monday,7,49,7283.0,This Week Pickup,Last Week,Orange,1.0
48,Group,Monday,7,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
49,Group,Monday,7,47,860.0,This Week Pickup,3 Weeks Ago,Blue,0.6
50,Group,Monday,7,46,3931.0,This Week Pickup,4 Weeks Ago,Blue,0.4
52,Group,Monday,7,51,15973.0,This Week Pickup,Next Week,Purple,1.0
54,Group,Tuesday,6,47,324.0,This Week Pickup,3 Weeks Ago,Blue,0.6
56,Group,Tuesday,6,46,2484.0,This Week Pickup,4 Weeks Ago,Blue,0.4
57,Group,Tuesday,6,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
58,Group,Tuesday,6,49,8094.0,This Week Pickup,Last Week,Orange,1.0
59,Group,Tuesday,6,50,13375.0,This Week Pickup,This Week,Red,1.0
60,Group,Wednesday,5,46,1923.0,This Week Pickup,4 Weeks Ago,Blue,0.4
61,Group,Wednesday,5,50,14800.0,This Week Pickup,This Week,Red,1.0
63,Group,Wednesday,5,49,8819.0,This Week Pickup,Last Week,Orange,1.0
64,Group,Wednesday,5,47,324.0,This Week Pickup,3 Weeks Ago,Blue,0.6
65,Group,Wednesday,5,48,149.0,This Week Pickup,2 Weeks Ago,Blue,0.8
67,Group,Thursday,4,46,1520.0,This Week Pickup,4 Weeks Ago,Blue,0.4
68,Group,Thursday,4,47,226.0,This Week Pickup,3 Weeks Ago,Blue,0.6
69,Group,Thursday,4,48,149.0,This Week Pickup,2 Weeks Ago,Blue,0.8
70,Group,Thursday,4,49,9709.0,This Week Pickup,Last Week,Orange,1.0
71,Group,Thursday,4,50,16421.0,This Week Pickup,This Week,Red,1.0
73,Group,Friday,3,46,1351.0,This Week Pickup,4 Weeks Ago,Blue,0.4
74,Group,Friday,3,47,226.0,This Week Pickup,3 Weeks Ago,Blue,0.6
75,Group,Friday,3,48,149.0,This Week Pickup,2 Weeks Ago,Blue,0.8
77,Group,Friday,3,50,17422.0,This Week Pickup,This Week,Red,1.0
79,Group,Saturday,2,46,973.0,This Week Pickup,4 Weeks Ago,Blue,0.4
80,Group,Saturday,2,50,18577.0,This Week Pickup,This Week,Red,1.0
81,Group,Saturday,2,49,10607.0,This Week Pickup,Last Week,Orange,1.0
82,Group,Saturday,2,48,149.0,This Week Pickup,2 Weeks Ago,Blue,0.8
83,Group,Saturday,2,47,226.0,This Week Pickup,3 Weeks Ago,Blue,0.6
84,Group,Sunday,1,49,11230.0,This Week Pickup,Last Week,Orange,1.0
85,Group,Sunday,1,50,19329.0,This Week Pickup,This Week,Red,1.0
88,Group,Sunday,1,46,971.0,This Week Pickup,4 Weeks Ago,Blue,0.4
89,Group,Sunday,1,47,226.0,This Week Pickup,3 Weeks Ago,Blue,0.6
90,Group,Sunday,1,48,149.0,This Week Pickup,2 Weeks Ago,Blue,0.8
91,Group,Sunday,1,45,11164.0,This Week Pickup,5 Weeks Ago,Blue,0.2
92,Group,Monday,0,50,20332.0,This Week Pickup,This Week,Red,1.0
93,Group,Monday,0,49,12019.0,This Week Pickup,Last Week,Orange,1.0
94,Group,Monday,0,48,144.0,This Week Pickup,2 Weeks Ago,Blue,0.8
95,Group,Monday,0,47,226.0,This Week Pickup,3 Weeks Ago,Blue,0.6
96,Group,Monday,0,46,956.0,This Week Pickup,4 Weeks Ago,Blue,0.4
97,Group,Monday,0,45,11528.0,This Week Pickup,5 Weeks Ago,Blue,0.2
100,Aster,Monday,14,50,36.0,This Week Pickup,This Week,Red,1.0
102,Issho,Monday,14,45,100.0,This Week Pickup,5 Weeks Ago,Blue,0.2
104,Plateau,Monday,14,52,112.0,This Week Pickup,2 Weeks Time,Black,1.0
106,Bluebird Chelsea Private Dining,Monday,14,45,16.0,This Week Pickup,5 Weeks Ago,Blue,0.2
107,Bluebird Chelsea Private Dining,Monday,14,47,65.0,This Week Pickup,3 Weeks Ago,Blue,0.6
108,Bluebird Chelsea Private Dining,Monday,14,50,104.0,This Week Pickup,This Week,Red,1.0
109,Bluebird Chelsea Private Dining,Monday,14,51,29.0,This Week Pickup,Next Week,Purple,1.0
110,Bluebird Chelsea Private Dining,Monday,14,52,24.0,This Week Pickup,2 Weeks Time,Black,1.0
111,German Gymnasium,Monday,14,52,265.0,This Week Pickup,2 Weeks Time,Black,1.0
112,German Gymnasium,Monday,14,51,350.0,This Week Pickup,Next Week,Purple,1.0
113,German Gymnasium,Monday,14,50,303.0,This Week Pickup,This Week,Red,1.0
114,German Gymnasium,Monday,14,49,260.0,This Week Pickup,Last Week,Orange,1.0
115,German Gymnasium,Monday,14,48,14.0,This Week Pickup,2 Weeks Ago,Blue,0.8
116,German Gymnasium,Monday,14,47,125.0,This Week Pickup,3 Weeks Ago,Blue,0.6
117,German Gymnasium,Monday,14,45,162.0,This Week Pickup,5 Weeks Ago,Blue,0.2
119,Plateau,Monday,14,51,299.0,This Week Pickup,Next Week,Purple,1.0
120,Plateau,Monday,14,50,455.0,This Week Pickup,This Week,Red,1.0
121,Plateau,Monday,14,49,129.0,This Week Pickup,Last Week,Orange,1.0
122,20 Stories,Monday,14,52,665.0,This Week Pickup,2 Weeks Time,Black,1.0
123,Bluebird Chelsea Cafe,Monday,14,52,22.0,This Week Pickup,2 Weeks Time,Black,1.0
124,Issho,Monday,14,52,443.0,This Week Pickup,2 Weeks Time,Black,1.0
125,Issho,Monday,14,51,469.0,This Week Pickup,Next Week,Purple,1.0
126,Issho,Monday,14,50,240.0,This Week Pickup,This Week,Red,1.0
127,Issho,Monday,14,49,142.0,This Week Pickup,Last Week,Orange,1.0
128,Issho,Monday,14,48,0.0,This Week Pickup,2 Weeks Ago,Blue,0.8
129,Issho,Monday,14,47,35.0,This Week Pickup,3 Weeks Ago,Blue,0.6
130,20 Stories,Monday,14,51,796.0,This Week Pickup,Next Week,Purple,1.0
131,Plateau,Monday,14,48,12.0,This Week Pickup,2 Weeks Ago,Blue,0.8
132,20 Stories,Monday,14,50,703.0,This Week Pickup,This Week,Red,1.0
133,20 Stories,Monday,14,49,665.0,This Week Pickup,Last Week,Orange,1.0
134,20 Stories,Monday,14,47,315.0,This Week Pickup,3 Weeks Ago,Blue,0.6
135,20 Stories,Monday,14,45,500.0,This Week Pickup,5 Weeks Ago,Blue,0.2
138,Plateau,Monday,14,45,64.0,This Week Pickup,5 Weeks Ago,Blue,0.2
139,Fiume,Monday,14,45,12.0,This Week Pickup,5 Weeks Ago,Blue,0.2
140,Pont de la Tour,Monday,14,45,40.0,This Week Pickup,5 Weeks Ago,Blue,0.2
141,Paternoster Chophouse,Monday,14,52,1183.0,This Week Pickup,2 Weeks Time,Black,1.0
142,Pont de la Tour,Monday,14,50,74.0,This Week Pickup,This Week,Red,1.0
143,Fish Market,Monday,14,51,838.0,This Week Pickup,Next Week,Purple,1.0
144,Fish Market,Monday,14,50,558.0,This Week Pickup,This Week,Red,1.0
145,Fish Market,Monday,14,49,316.0,This Week Pickup,Last Week,Orange,1.0
146,Fish Market,Monday,14,47,173.0,This Week Pickup,3 Weeks Ago,Blue,0.6
147,Quaglino's,Monday,14,47,101.0,This Week Pickup,3 Weeks Ago,Blue,0.6
148,Quaglino's,Monday,14,48,35.0,This Week Pickup,2 Weeks Ago,Blue,0.8
149,Quaglino's,Monday,14,49,154.0,This Week Pickup,Last Week,Orange,1.0
150,Quaglino's,Monday,14,50,310.0,This Week Pickup,This Week,Red,1.0
151,Quaglino's,Monday,14,51,382.0,This Week Pickup,Next Week,Purple,1.0
152,Quaglino's,Monday,14,52,358.0,This Week Pickup,2 Weeks Time,Black,1.0
153,Fish Market,Monday,14,45,253.0,This Week Pickup,5 Weeks Ago,Blue,0.2
155,East 59th,Monday,14,52,67.0,This Week Pickup,2 Weeks Time,Black,1.0
156,East 59th,Monday,14,51,66.0,This Week Pickup,Next Week,Purple,1.0
157,East 59th,Monday,14,50,12.0,This Week Pickup,This Week,Red,1.0
158,East 59th,Monday,14,49,37.0,This Week Pickup,Last Week,Orange,1.0
160,Fish Market,Monday,14,52,841.0,This Week Pickup,2 Weeks Time,Black,1.0
161,Quaglino's,Monday,14,45,167.0,This Week Pickup,5 Weeks Ago,Blue,0.2
163,14 Hills,Monday,14,45,409.0,This Week Pickup,5 Weeks Ago,Blue,0.2
164,Pont de la Tour,Monday,14,51,60.0,This Week Pickup,Next Week,Purple,1.0
165,Pont de la Tour,Monday,14,52,31.0,This Week Pickup,2 Weeks Time,Black,1.0
166,14 Hills,Monday,14,52,266.0,This Week Pickup,2 Weeks Time,Black,1.0
167,14 Hills,Monday,14,51,772.0,This Week Pickup,Next Week,Purple,1.0
168,14 Hills,Monday,14,50,439.0,This Week Pickup,This Week,Red,1.0
169,14 Hills,Monday,14,49,387.0,This Week Pickup,Last Week,Orange,1.0
170,14 Hills,Monday,14,47,230.0,This Week Pickup,3 Weeks Ago,Blue,0.6
172,Bluebird Chelsea Restaurant,Monday,14,52,471.0,This Week Pickup,2 Weeks Time,Black,1.0
174,Bluebird Chelsea Restaurant,Monday,14,45,127.0,This Week Pickup,5 Weeks Ago,Blue,0.2
175,Bluebird Chelsea Restaurant,Monday,14,47,137.0,This Week Pickup,3 Weeks Ago,Blue,0.6
176,Bluebird Chelsea Restaurant,Monday,14,48,65.0,This Week Pickup,2 Weeks Ago,Blue,0.8
177,Bluebird Chelsea Restaurant,Monday,14,49,284.0,This Week Pickup,Last Week,Orange,1.0
178,Bluebird Chelsea Restaurant,Monday,14,50,309.0,This Week Pickup,This Week,Red,1.0
179,Bluebird Chelsea Restaurant,Monday,14,51,579.0,This Week Pickup,Next Week,Purple,1.0
180,Bluebird Chelsea Cafe,Monday,14,51,23.0,This Week Pickup,Next Week,Purple,1.0
181,Bluebird Chelsea Cafe,Monday,14,50,21.0,This Week Pickup,This Week,Red,1.0
182,100 Wardour St Lounge Bar,Monday,14,52,12.0,This Week Pickup,2 Weeks Time,Black,1.0
183,Angler Restaurant,Monday,14,47,72.0,This Week Pickup,3 Weeks Ago,Blue,0.6
185,Old Bengal Bar,Monday,14,45,2.0,This Week Pickup,5 Weeks Ago,Blue,0.2
186,Old Bengal Bar,Monday,14,47,24.0,This Week Pickup,3 Weeks Ago,Blue,0.6
187,Old Bengal Bar,Monday,14,49,71.0,This Week Pickup,Last Week,Orange,1.0
188,Old Bengal Bar,Monday,14,50,42.0,This Week Pickup,This Week,Red,1.0
189,Old Bengal Bar,Monday,14,51,60.0,This Week Pickup,Next Week,Purple,1.0
190,Old Bengal Bar,Monday,14,52,24.0,This Week Pickup,2 Weeks Time,Black,1.0
191,Madison Restaurant,Monday,14,51,6.0,This Week Pickup,Next Week,Purple,1.0
192,Madison Restaurant,Monday,14,47,2.0,This Week Pickup,3 Weeks Ago,Blue,0.6
195,Avenue,Monday,14,45,63.0,This Week Pickup,5 Weeks Ago,Blue,0.2
196,Avenue,Monday,14,47,19.0,This Week Pickup,3 Weeks Ago,Blue,0.6
197,Avenue,Monday,14,49,80.0,This Week Pickup,Last Week,Orange,1.0
198,Angler Restaurant,Monday,14,52,63.0,This Week Pickup,2 Weeks Time,Black,1.0
199,Angler Restaurant,Monday,14,51,120.0,This Week Pickup,Next Week,Purple,1.0
200,Angler Restaurant,Monday,14,50,88.0,This Week Pickup,This Week,Red,1.0
201,New Street Grill,Monday,14,45,69.0,This Week Pickup,5 Weeks Ago,Blue,0.2
202,New Street Grill,Monday,14,47,101.0,This Week Pickup,3 Weeks Ago,Blue,0.6
203,New Street Grill,Monday,14,48,33.0,This Week Pickup,2 Weeks Ago,Blue,0.8
205,Aster,Monday,14,52,21.0,This Week Pickup,2 Weeks Time,Black,1.0
206,Aster,Monday,14,51,39.0,This Week Pickup,Next Week,Purple,1.0
207,Aster,Monday,14,49,44.0,This Week Pickup,Last Week,Orange,1.0
208,Aster,Monday,14,48,12.0,This Week Pickup,2 Weeks Ago,Blue,0.8
209,Aster,Monday,14,47,13.0,This Week Pickup,3 Weeks Ago,Blue,0.6
210,Aster,Monday,14,45,38.0,This Week Pickup,5 Weeks Ago,Blue,0.2
212,New Street Wine Shop,Monday,14,45,79.0,This Week Pickup,5 Weeks Ago,Blue,0.2
213,New Street Grill,Monday,14,49,163.0,This Week Pickup,Last Week,Orange,1.0
214,New Street Wine Shop,Monday,14,49,136.0,This Week Pickup,Last Week,Orange,1.0
215,New Street Wine Shop,Monday,14,50,170.0,This Week Pickup,This Week,Red,1.0
216,New Street Wine Shop,Monday,14,51,206.0,This Week Pickup,Next Week,Purple,1.0
217,New Street Wine Shop,Monday,14,52,96.0,This Week Pickup,2 Weeks Time,Black,1.0
218,New Street Grill,Monday,14,52,264.0,This Week Pickup,2 Weeks Time,Black,1.0
219,New Street Grill,Monday,14,51,365.0,This Week Pickup,Next Week,Purple,1.0
220,New Street Grill,Monday,14,50,345.0,This Week Pickup,This Week,Red,1.0
221,Angler Restaurant,Monday,14,49,55.0,This Week Pickup,Last Week,Orange,1.0
222,Angler Restaurant,Monday,14,45,34.0,This Week Pickup,5 Weeks Ago,Blue,0.2
223,Bluebird Chelsea Cafe,Monday,14,48,16.0,This Week Pickup,2 Weeks Ago,Blue,0.8
225,Angelica,Monday,14,52,66.0,This Week Pickup,2 Weeks Time,Black,1.0
226,Angelica,Monday,14,51,77.0,This Week Pickup,Next Week,Purple,1.0
227,Angelica,Monday,14,50,54.0,This Week Pickup,This Week,Red,1.0
228,Angelica,Monday,14,49,59.0,This Week Pickup,Last Week,Orange,1.0
229,Angelica,Monday,14,47,56.0,This Week Pickup,3 Weeks Ago,Blue,0.6
230,Angelica,Monday,14,45,68.0,This Week Pickup,5 Weeks Ago,Blue,0.2
232,Issho Restaurant,Monday,14,50,11.0,This Week Pickup,This Week,Red,1.0
233,Issho Restaurant,Monday,14,49,21.0,This Week Pickup,Last Week,Orange,1.0
234,Issho Restaurant,Monday,14,45,4.0,This Week Pickup,5 Weeks Ago,Blue,0.2
236,Paternoster Chophouse,Monday,14,45,607.0,This Week Pickup,5 Weeks Ago,Blue,0.2
237,Paternoster Chophouse,Monday,14,49,861.0,This Week Pickup,Last Week,Orange,1.0
238,Paternoster Chophouse,Monday,14,50,1244.0,This Week Pickup,This Week,Red,1.0
239,Paternoster Chophouse,Monday,14,51,1495.0,This Week Pickup,Next Week,Purple,1.0
241,Bluebird Chelsea Cafe,Monday,14,45,8.0,This Week Pickup,5 Weeks Ago,Blue,0.2
242,Issho Restaurant,Monday,14,51,14.0,This Week Pickup,Next Week,Purple,1.0
243,Issho Restaurant,Monday,14,52,14.0,This Week Pickup,2 Weeks Time,Black,1.0
245,Orrery,Monday,14,49,21.0,This Week Pickup,Last Week,Orange,1.0
246,Avenue,Monday,14,50,105.0,This Week Pickup,This Week,Red,1.0
247,Avenue,Monday,14,51,89.0,This Week Pickup,Next Week,Purple,1.0
248,Avenue,Monday,14,52,30.0,This Week Pickup,2 Weeks Time,Black,1.0
250,Orrery,Monday,14,45,32.0,This Week Pickup,5 Weeks Ago,Blue,0.2
251,Orrery,Monday,14,47,4.0,This Week Pickup,3 Weeks Ago,Blue,0.6
252,Orrery,Monday,14,48,4.0,This Week Pickup,2 Weeks Ago,Blue,0.8
253,Orrery,Monday,14,50,41.0,This Week Pickup,This Week,Red,1.0
254,Launceston Place,Monday,14,45,314.0,This Week Pickup,5 Weeks Ago,Blue,0.2
255,Orrery,Monday,14,51,40.0,This Week Pickup,Next Week,Purple,1.0
256,Orrery,Monday,14,52,32.0,This Week Pickup,2 Weeks Time,Black,1.0
257,Launceston Place,Monday,14,52,283.0,This Week Pickup,2 Weeks Time,Black,1.0
258,Launceston Place,Monday,14,51,627.0,This Week Pickup,Next Week,Purple,1.0
259,Launceston Place,Monday,14,50,453.0,This Week Pickup,This Week,Red,1.0
260,Launceston Place,Monday,14,49,316.0,This Week Pickup,Last Week,Orange,1.0
261,Launceston Place,Monday,14,47,220.0,This Week Pickup,3 Weeks Ago,Blue,0.6
262,Quaglino's Restaurant,Monday,14,45,20.0,This Week Pickup,5 Weeks Ago,Blue,0.2
263,Pont de la Tour,Monday,14,49,35.0,This Week Pickup,Last Week,Orange,1.0
264,100 Wardour St Lounge Bar,Monday,14,51,27.0,This Week Pickup,Next Week,Purple,1.0
265,Sartoria,Monday,14,45,31.0,This Week Pickup,5 Weeks Ago,Blue,0.2
266,Sartoria,Monday,14,48,6.0,This Week Pickup,2 Weeks Ago,Blue,0.8
267,Sartoria,Monday,14,49,12.0,This Week Pickup,Last Week,Orange,1.0
268,Sartoria,Monday,14,50,57.0,This Week Pickup,This Week,Red,1.0
269,Sartoria,Monday,14,51,64.0,This Week Pickup,Next Week,Purple,1.0
270,Sartoria,Monday,14,52,36.0,This Week Pickup,2 Weeks Time,Black,1.0
272,Butlers Wharf Chophouse Restaurant,Monday,14,45,49.0,This Week Pickup,5 Weeks Ago,Blue,0.2
273,Butlers Wharf Chophouse Restaurant,Monday,14,49,127.0,This Week Pickup,Last Week,Orange,1.0
274,Butlers Wharf Chophouse Restaurant,Monday,14,50,117.0,This Week Pickup,This Week,Red,1.0
275,Butlers Wharf Chophouse Restaurant,Monday,14,51,126.0,This Week Pickup,Next Week,Purple,1.0
276,Crafthouse,Monday,14,50,9.0,This Week Pickup,This Week,Red,1.0
277,Crafthouse,Monday,14,51,14.0,This Week Pickup,Next Week,Purple,1.0
278,Crafthouse,Monday,14,52,5.0,This Week Pickup,2 Weeks Time,Black,1.0
279,Bluebird White City,Monday,14,52,17.0,This Week Pickup,2 Weeks Time,Black,1.0
280,Bluebird White City,Monday,14,51,12.0,This Week Pickup,Next Week,Purple,1.0
281,Butlers Wharf Chophouse Restaurant,Monday,14,52,222.0,This Week Pickup,2 Weeks Time,Black,1.0
282,Cantina del Ponte,Monday,14,52,75.0,This Week Pickup,2 Weeks Time,Black,1.0
283,100 Wardour St,Monday,14,52,190.0,This Week Pickup,2 Weeks Time,Black,1.0
284,100 Wardour St,Monday,14,51,844.0,This Week Pickup,Next Week,Purple,1.0
285,100 Wardour St,Monday,14,50,598.0,This Week Pickup,This Week,Red,1.0
286,100 Wardour St,Monday,14,49,499.0,This Week Pickup,Last Week,Orange,1.0
287,100 Wardour St,Monday,14,48,184.0,This Week Pickup,2 Weeks Ago,Blue,0.8
288,100 Wardour St,Monday,14,47,371.0,This Week Pickup,3 Weeks Ago,Blue,0.6
289,100 Wardour St,Monday,14,45,507.0,This Week Pickup,5 Weeks Ago,Blue,0.2
290,Bluebird White City,Monday,14,50,6.0,This Week Pickup,This Week,Red,1.0
291,Sartoria,Monday,14,47,15.0,This Week Pickup,3 Weeks Ago,Blue,0.6
293,Bluebird White City,Monday,14,48,5.0,This Week Pickup,2 Weeks Ago,Blue,0.8
294,Crafthouse,Monday,14,49,12.0,This Week Pickup,Last Week,Orange,1.0
295,Coq d’Argent,Monday,14,50,784.0,This Week Pickup,This Week,Red,1.0
296,Coq d’Argent,Monday,14,49,404.0,This Week Pickup,Last Week,Orange,1.0
297,Coq d’Argent,Monday,14,48,77.0,This Week Pickup,2 Weeks Ago,Blue,0.8
298,Coq d’Argent,Monday,14,47,331.0,This Week Pickup,3 Weeks Ago,Blue,0.6
299,Coq d’Argent,Monday,14,45,238.0,This Week Pickup,5 Weeks Ago,Blue,0.2
301,Coq d’Argent,Monday,14,51,1187.0,This Week Pickup,Next Week,Purple,1.0
302,Coq d’Argent,Monday,14,52,476.0,This Week Pickup,2 Weeks Time,Black,1.0
303,Radici,Monday,14,52,54.0,This Week Pickup,2 Weeks Time,Black,1.0
304,Radici,Monday,14,51,53.0,This Week Pickup,Next Week,Purple,1.0
305,Radici,Monday,14,50,73.0,This Week Pickup,This Week,Red,1.0
307,100 Wardour St Club Bar,Monday,14,45,8.0,This Week Pickup,5 Weeks Ago,Blue,0.2
308,100 Wardour St Club Bar,Monday,14,47,30.0,This Week Pickup,3 Weeks Ago,Blue,0.6
309,100 Wardour St Club Bar,Monday,14,49,6.0,This Week Pickup,Last Week,Orange,1.0
310,100 Wardour St Club Bar,Monday,14,50,81.0,This Week Pickup,This Week,Red,1.0
311,100 Wardour St Club Bar,Monday,14,51,30.0,This Week Pickup,Next Week,Purple,1.0
312,Radici,Monday,14,49,30.0,This Week Pickup,Last Week,Orange,1.0
313,Radici,Monday,14,47,23.0,This Week Pickup,3 Weeks Ago,Blue,0.6
314,Radici,Monday,14,45,29.0,This Week Pickup,5 Weeks Ago,Blue,0.2
316,Blueprint Cafe,Monday,14,49,100.0,This Week Pickup,Last Week,Orange,1.0
318,Crafthouse,Monday,14,45,5.0,This Week Pickup,5 Weeks Ago,Blue,0.2
319,Crafthouse,Monday,14,47,8.0,This Week Pickup,3 Weeks Ago,Blue,0.6
320,Bluebird White City,Monday,14,49,6.0,This Week Pickup,Last Week,Orange,1.0
321,Butlers Wharf Chophouse Restaurant,Monday,14,47,44.0,This Week Pickup,3 Weeks Ago,Blue,0.6
322,Bluebird White City,Monday,14,47,6.0,This Week Pickup,3 Weeks Ago,Blue,0.6
324,Quaglino's Restaurant,Monday,14,49,34.0,This Week Pickup,Last Week,Orange,1.0
325,Quaglino's Restaurant,Monday,14,48,10.0,This Week Pickup,2 Weeks Ago,Blue,0.8
326,Quaglino's Restaurant,Monday,14,47,20.0,This Week Pickup,3 Weeks Ago,Blue,0.6
327,Cantina del Ponte,Monday,14,51,54.0,This Week Pickup,Next Week,Purple,1.0
328,Cantina del Ponte,Monday,14,50,54.0,This Week Pickup,This Week,Red,1.0
329,Cantina del Ponte,Monday,14,49,35.0,This Week Pickup,Last Week,Orange,1.0
330,Cantina del Ponte,Monday,14,47,14.0,This Week Pickup,3 Weeks Ago,Blue,0.6
331,Bluebird White City,Monday,14,45,25.0,This Week Pickup,5 Weeks Ago,Blue,0.2
332,Cantina del Ponte,Monday,14,45,28.0,This Week Pickup,5 Weeks Ago,Blue,0.2
334,100 Wardour St Lounge Bar,Monday,14,45,51.0,This Week Pickup,5 Weeks Ago,Blue,0.2
335,100 Wardour St Lounge Bar,Monday,14,47,51.0,This Week Pickup,3 Weeks Ago,Blue,0.6
337,100 Wardour St Lounge Bar,Monday,14,48,6.0,This Week Pickup,2 Weeks Ago,Blue,0.8
338,100 Wardour St Lounge Bar,Monday,14,49,25.0,This Week Pickup,Last Week,Orange,1.0
339,Quaglino's Restaurant,Monday,14,50,27.0,This Week Pickup,This Week,Red,1.0
340,100 Wardour St Lounge Bar,Monday,14,50,27.0,This Week Pickup,This Week,Red,1.0
343,Quaglino's Restaurant,Monday,14,51,23.0,This Week Pickup,Next Week,Purple,1.0
344,Quaglino's Restaurant,Monday,14,52,48.0,This Week Pickup,2 Weeks Time,Black,1.0
345,East 59th,Monday,14,47,27.0,This Week Pickup,3 Weeks Ago,Blue,0.6
346,East 59th,Monday,14,45,16.0,This Week Pickup,5 Weeks Ago,Blue,0.2
348,Sartoria,Tuesday,13,49,16.0,This Week Pickup,Last Week,Orange,1.0
349,New Street Grill,Tuesday,13,51,399.0,This Week Pickup,Next Week,Purple,1.0
350,New Street Grill,Tuesday,13,50,378.0,This Week Pickup,This Week,Red,1.0
351,100 Wardour St,Tuesday,13,51,893.0,This Week Pickup,Next Week,Purple,1.0
352,100 Wardour St,Tuesday,13,50,670.0,This Week Pickup,This Week,Red,1.0
353,New Street Grill,Tuesday,13,49,177.0,This Week Pickup,Last Week,Orange,1.0
354,New Street Grill,Tuesday,13,48,33.0,This Week Pickup,2 Weeks Ago,Blue,0.8
355,New Street Grill,Tuesday,13,47,95.0,This Week Pickup,3 Weeks Ago,Blue,0.6
356,Old Bengal Bar,Tuesday,13,47,20.0,This Week Pickup,3 Weeks Ago,Blue,0.6
357,Sartoria,Tuesday,13,48,6.0,This Week Pickup,2 Weeks Ago,Blue,0.8
358,100 Wardour St,Tuesday,13,49,505.0,This Week Pickup,Last Week,Orange,1.0
359,Sartoria,Tuesday,13,51,58.0,This Week Pickup,Next Week,Purple,1.0
360,100 Wardour St,Tuesday,13,47,357.0,This Week Pickup,3 Weeks Ago,Blue,0.6
362,Radici,Tuesday,13,49,32.0,This Week Pickup,Last Week,Orange,1.0
363,Radici,Tuesday,13,50,95.0,This Week Pickup,This Week,Red,1.0
364,Radici,Tuesday,13,51,59.0,This Week Pickup,Next Week,Purple,1.0
365,Issho Restaurant,Tuesday,13,49,21.0,This Week Pickup,Last Week,Orange,1.0
366,Issho Restaurant,Tuesday,13,50,11.0,This Week Pickup,This Week,Red,1.0
