,Restaurant,Week,Day,This Week,Last Week,Last Year,vs. LW,vs. LW %,vs. LY,vs. LY %
9,100 Wardour St,Four Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2,100 Wardour St,Four Weeks,Full Week,0.0,0.0,5.0,0.0,1.0,-5.0,-1.0
1468,100 Wardour St,Five Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1469,100 Wardour St,Five Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,100 Wardour St,Five Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1467,100 Wardour St,Five Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,100 Wardour St,Five Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1167,100 Wardour St,Five Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,100 Wardour St,Five Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
21,100 Wardour St,Six Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1470,100 Wardour St,Six Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1173,100 Wardour St,Six Weeks,Saturday,0.0,0.0,6.0,0.0,1.0,-6.0,-1.0
1471,100 Wardour St,Six Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,100 Wardour St,Six Weeks,Full Week,0.0,0.0,6.0,0.0,1.0,-6.0,-1.0
20,100 Wardour St,Seven Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17,100 Wardour St,Seven Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18,100 Wardour St,Seven Weeks,Saturday,6.0,0.0,5.0,6.0,6.0,1.0,0.2
19,100 Wardour St,Seven Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,100 Wardour St,Seven Weeks,Full Week,6.0,0.0,5.0,6.0,6.0,1.0,0.2
1464,100 Wardour St,Eight Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1466,100 Wardour St,Eight Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1166,100 Wardour St,Eight Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1165,100 Wardour St,Eight Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,100 Wardour St,Eight Weeks,Saturday,0.0,0.0,4.0,0.0,1.0,-4.0,-1.0
1465,100 Wardour St,Eight Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,100 Wardour St,Eight Weeks,Full Week,0.0,0.0,4.0,0.0,1.0,-4.0,-1.0
92,14 Hills,This Week,Monday,15.0,0.0,6.0,15.0,15.0,9.0,1.5
96,14 Hills,This Week,Tuesday,6.0,0.0,0.0,6.0,6.0,6.0,6.0
97,14 Hills,This Week,Wednesday,17.0,2.0,7.0,15.0,7.5,10.0,1.4285714285714286
95,14 Hills,This Week,Thursday,9.0,8.0,0.0,1.0,0.125,9.0,9.0
91,14 Hills,This Week,Friday,12.0,8.0,0.0,4.0,0.5,12.0,12.0
93,14 Hills,This Week,Saturday,6.0,2.0,11.0,4.0,2.0,-5.0,-0.45454545454545453
94,14 Hills,This Week,Sunday,12.0,21.0,0.0,-9.0,-0.42857142857142855,12.0,12.0
15,14 Hills,This Week,Full Week,77.0,41.0,24.0,36.0,0.8780487804878049,53.0,2.2083333333333335
78,14 Hills,Next Week,Monday,4.0,4.0,3.0,0.0,0.25,1.0,0.3333333333333333
82,14 Hills,Next Week,Tuesday,3.0,4.0,0.0,-1.0,-0.25,3.0,3.0
83,14 Hills,Next Week,Wednesday,11.0,4.0,8.0,7.0,1.75,3.0,0.375
81,14 Hills,Next Week,Thursday,6.0,4.0,10.0,2.0,0.5,-4.0,-0.4
77,14 Hills,Next Week,Friday,-3.0,6.0,15.0,-9.0,-1.5,-18.0,-1.2
79,14 Hills,Next Week,Saturday,7.0,-5.0,9.0,12.0,-2.4,-2.0,-0.2222222222222222
80,14 Hills,Next Week,Sunday,0.0,9.0,5.0,-9.0,-1.0,-5.0,-1.0
12,14 Hills,Next Week,Full Week,28.0,26.0,50.0,2.0,0.07692307692307693,-22.0,-0.44
105,14 Hills,Two Weeks,Monday,2.0,0.0,2.0,2.0,2.0,0.0,0.5
109,14 Hills,Two Weeks,Tuesday,5.0,0.0,4.0,5.0,5.0,1.0,0.25
110,14 Hills,Two Weeks,Wednesday,2.0,0.0,0.0,2.0,2.0,2.0,2.0
108,14 Hills,Two Weeks,Thursday,0.0,6.0,0.0,-6.0,-1.0,0.0,1.0
1192,14 Hills,Two Weeks,Friday,0.0,0.0,6.0,0.0,1.0,-6.0,-1.0
106,14 Hills,Two Weeks,Saturday,8.0,17.0,6.0,-9.0,-0.5294117647058824,2.0,0.3333333333333333
107,14 Hills,Two Weeks,Sunday,2.0,13.0,10.0,-11.0,-0.8461538461538461,-8.0,-0.8
17,14 Hills,Two Weeks,Full Week,19.0,36.0,28.0,-17.0,-0.4722222222222222,-9.0,-0.32142857142857145
99,14 Hills,Three Weeks,Monday,6.0,-6.0,3.0,12.0,-2.0,3.0,1.0
103,14 Hills,Three Weeks,Tuesday,4.0,18.0,0.0,-14.0,-0.7777777777777778,4.0,4.0
104,14 Hills,Three Weeks,Wednesday,2.0,2.0,0.0,0.0,0.5,2.0,2.0
102,14 Hills,Three Weeks,Thursday,5.0,0.0,0.0,5.0,5.0,5.0,5.0
98,14 Hills,Three Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
100,14 Hills,Three Weeks,Saturday,6.0,0.0,0.0,6.0,6.0,6.0,6.0
101,14 Hills,Three Weeks,Sunday,0.0,4.0,0.0,-4.0,-1.0,0.0,1.0
16,14 Hills,Three Weeks,Full Week,23.0,18.0,3.0,5.0,0.2777777777777778,20.0,6.666666666666667
73,14 Hills,Four Weeks,Monday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
1189,14 Hills,Four Weeks,Tuesday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
1190,14 Hills,Four Weeks,Wednesday,0.0,5.0,0.0,-5.0,-1.0,0.0,1.0
76,14 Hills,Four Weeks,Thursday,0.0,4.0,0.0,-4.0,-1.0,0.0,1.0
72,14 Hills,Four Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
74,14 Hills,Four Weeks,Saturday,12.0,0.0,0.0,12.0,12.0,12.0,12.0
75,14 Hills,Four Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11,14 Hills,Four Weeks,Full Week,12.0,13.0,0.0,-1.0,-0.07692307692307693,12.0,12.0
68,14 Hills,Five Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1476,14 Hills,Five Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1477,14 Hills,Five Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
71,14 Hills,Five Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1188,14 Hills,Five Weeks,Friday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
69,14 Hills,Five Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
70,14 Hills,Five Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,14 Hills,Five Weeks,Full Week,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
1481,14 Hills,Six Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1482,14 Hills,Six Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1483,14 Hills,Six Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1191,14 Hills,Six Weeks,Thursday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
1480,14 Hills,Six Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
89,14 Hills,Six Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
90,14 Hills,Six Weeks,Sunday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
14,14 Hills,Six Weeks,Full Week,0.0,2.0,2.0,-2.0,-1.0,-2.0,-1.0
85,14 Hills,Seven Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1478,14 Hills,Seven Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1479,14 Hills,Seven Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
88,14 Hills,Seven Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
84,14 Hills,Seven Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
86,14 Hills,Seven Weeks,Saturday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
87,14 Hills,Seven Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,14 Hills,Seven Weeks,Full Week,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
1186,14 Hills,Eight Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1475,14 Hills,Eight Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1474,14 Hills,Eight Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1185,14 Hills,Eight Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
67,14 Hills,Eight Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1187,14 Hills,Eight Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,14 Hills,Eight Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1489,20 Stories,This Week,Monday,0.0,0.0,9.0,0.0,1.0,-9.0,-1.0
1493,20 Stories,This Week,Tuesday,0.0,0.0,-7.0,0.0,1.0,7.0,-1.0
1494,20 Stories,This Week,Wednesday,0.0,0.0,3.0,0.0,1.0,-3.0,-1.0
1492,20 Stories,This Week,Thursday,0.0,0.0,4.0,0.0,1.0,-4.0,-1.0
1488,20 Stories,This Week,Friday,0.0,0.0,12.0,0.0,1.0,-12.0,-1.0
1490,20 Stories,This Week,Saturday,0.0,0.0,4.0,0.0,1.0,-4.0,-1.0
1491,20 Stories,This Week,Sunday,0.0,0.0,11.0,0.0,1.0,-11.0,-1.0
24,20 Stories,This Week,Full Week,0.0,0.0,36.0,0.0,1.0,-36.0,-1.0
1485,20 Stories,Next Week,Monday,0.0,0.0,6.0,0.0,1.0,-6.0,-1.0
1486,20 Stories,Next Week,Tuesday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
139,20 Stories,Next Week,Wednesday,8.0,0.0,0.0,8.0,8.0,8.0,8.0
138,20 Stories,Next Week,Thursday,4.0,0.0,2.0,4.0,4.0,2.0,1.0
135,20 Stories,Next Week,Friday,-4.0,0.0,8.0,-4.0,-4.0,-12.0,-1.5
136,20 Stories,Next Week,Saturday,0.0,0.0,-1.0,0.0,1.0,1.0,-1.0
137,20 Stories,Next Week,Sunday,8.0,0.0,13.0,8.0,8.0,-5.0,-0.38461538461538464
21,20 Stories,Next Week,Full Week,16.0,0.0,30.0,16.0,16.0,-14.0,-0.4666666666666667
157,20 Stories,Two Weeks,Monday,2.0,0.0,14.0,2.0,2.0,-12.0,-0.8571428571428571
161,20 Stories,Two Weeks,Tuesday,6.0,0.0,6.0,6.0,6.0,0.0,0.16666666666666666
162,20 Stories,Two Weeks,Wednesday,6.0,2.0,0.0,4.0,2.0,6.0,6.0
160,20 Stories,Two Weeks,Thursday,-2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0
156,20 Stories,Two Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
158,20 Stories,Two Weeks,Saturday,4.0,14.0,4.0,-10.0,-0.7142857142857143,0.0,0.25
159,20 Stories,Two Weeks,Sunday,4.0,4.0,6.0,0.0,0.25,-2.0,-0.3333333333333333
26,20 Stories,Two Weeks,Full Week,20.0,20.0,30.0,0.0,0.05,-10.0,-0.3333333333333333
150,20 Stories,Three Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
154,20 Stories,Three Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
155,20 Stories,Three Weeks,Wednesday,0.0,6.0,0.0,-6.0,-1.0,0.0,1.0
153,20 Stories,Three Weeks,Thursday,0.0,-2.0,2.0,2.0,-1.0,-2.0,-1.0
1199,20 Stories,Three Weeks,Friday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
151,20 Stories,Three Weeks,Saturday,2.0,4.0,0.0,-2.0,-0.5,2.0,2.0
152,20 Stories,Three Weeks,Sunday,0.0,0.0,4.0,0.0,1.0,-4.0,-1.0
25,20 Stories,Three Weeks,Full Week,2.0,8.0,8.0,-6.0,-0.75,-6.0,-0.75
129,20 Stories,Four Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
133,20 Stories,Four Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
134,20 Stories,Four Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
132,20 Stories,Four Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
128,20 Stories,Four Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
130,20 Stories,Four Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
131,20 Stories,Four Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20,20 Stories,Four Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1193,20 Stories,Five Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
127,20 Stories,Five Weeks,Tuesday,6.0,0.0,0.0,6.0,6.0,6.0,6.0
1195,20 Stories,Five Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
126,20 Stories,Five Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
124,20 Stories,Five Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
125,20 Stories,Five Weeks,Saturday,0.0,4.0,0.0,-4.0,-1.0,0.0,1.0
1194,20 Stories,Five Weeks,Sunday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
19,20 Stories,Five Weeks,Full Week,6.0,4.0,2.0,2.0,0.5,4.0,2.0
145,20 Stories,Six Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1198,20 Stories,Six Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
149,20 Stories,Six Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
148,20 Stories,Six Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
144,20 Stories,Six Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
146,20 Stories,Six Weeks,Saturday,0.0,0.0,6.0,0.0,1.0,-6.0,-1.0
147,20 Stories,Six Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23,20 Stories,Six Weeks,Full Week,0.0,0.0,6.0,0.0,1.0,-6.0,-1.0
141,20 Stories,Seven Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1487,20 Stories,Seven Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1197,20 Stories,Seven Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1196,20 Stories,Seven Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
140,20 Stories,Seven Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
142,20 Stories,Seven Weeks,Saturday,0.0,0.0,3.0,0.0,1.0,-3.0,-1.0
143,20 Stories,Seven Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22,20 Stories,Seven Weeks,Full Week,0.0,0.0,3.0,0.0,1.0,-3.0,-1.0
119,20 Stories,Eight Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
123,20 Stories,Eight Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1484,20 Stories,Eight Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
122,20 Stories,Eight Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
118,20 Stories,Eight Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
120,20 Stories,Eight Weeks,Saturday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
121,20 Stories,Eight Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18,20 Stories,Eight Weeks,Full Week,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
1508,Angelica,This Week,Monday,0.0,0.0,-3.0,0.0,1.0,3.0,-1.0
1512,Angelica,This Week,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1513,Angelica,This Week,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1511,Angelica,This Week,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1507,Angelica,This Week,Friday,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0
1509,Angelica,This Week,Saturday,0.0,0.0,12.0,0.0,1.0,-12.0,-1.0
1510,Angelica,This Week,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
33,Angelica,This Week,Full Week,0.0,0.0,10.0,0.0,1.0,-10.0,-1.0
1502,Angelica,Next Week,Monday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
1503,Angelica,Next Week,Tuesday,0.0,0.0,3.0,0.0,1.0,-3.0,-1.0
176,Angelica,Next Week,Wednesday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
175,Angelica,Next Week,Thursday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
172,Angelica,Next Week,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
173,Angelica,Next Week,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
174,Angelica,Next Week,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
30,Angelica,Next Week,Full Week,0.0,0.0,9.0,0.0,1.0,-9.0,-1.0
183,Angelica,Two Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
187,Angelica,Two Weeks,Tuesday,2.0,0.0,8.0,2.0,2.0,-6.0,-0.75
188,Angelica,Two Weeks,Wednesday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
186,Angelica,Two Weeks,Thursday,6.0,2.0,0.0,4.0,2.0,6.0,6.0
1209,Angelica,Two Weeks,Friday,0.0,0.0,4.0,0.0,1.0,-4.0,-1.0
184,Angelica,Two Weeks,Saturday,0.0,-5.0,0.0,5.0,-1.0,0.0,1.0
185,Angelica,Two Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
35,Angelica,Two Weeks,Full Week,8.0,-1.0,12.0,9.0,-9.0,-4.0,-0.3333333333333333
181,Angelica,Three Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1207,Angelica,Three Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1208,Angelica,Three Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
182,Angelica,Three Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1514,Angelica,Three Weeks,Friday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
1205,Angelica,Three Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1206,Angelica,Three Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
34,Angelica,Three Weeks,Full Week,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
170,Angelica,Four Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1501,Angelica,Four Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
171,Angelica,Four Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
169,Angelica,Four Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1500,Angelica,Four Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
29,Angelica,Four Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1200,Angelica,Five Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1499,Angelica,Five Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1201,Angelica,Five Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
168,Angelica,Five Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
28,Angelica,Five Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
178,Angelica,Six Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1506,Angelica,Six Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
180,Angelica,Six Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1204,Angelica,Six Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
179,Angelica,Six Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
32,Angelica,Six Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1202,Angelica,Seven Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1505,Angelica,Seven Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1203,Angelica,Seven Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1504,Angelica,Seven Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
177,Angelica,Seven Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31,Angelica,Seven Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1498,Angelica,Eight Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1497,Angelica,Eight Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
27,Angelica,Eight Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1538,Angler Restaurant,This Week,Monday,0.0,0.0,3.0,0.0,1.0,-3.0,-1.0
209,Angler Restaurant,This Week,Tuesday,0.0,0.0,3.0,0.0,1.0,-3.0,-1.0
210,Angler Restaurant,This Week,Wednesday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
208,Angler Restaurant,This Week,Thursday,-3.0,3.0,3.0,-6.0,-2.0,-6.0,-2.0
205,Angler Restaurant,This Week,Friday,1.0,10.0,3.0,-9.0,-0.9,-2.0,-0.6666666666666666
206,Angler Restaurant,This Week,Saturday,-2.0,2.0,0.0,-4.0,-2.0,-2.0,-2.0
207,Angler Restaurant,This Week,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
42,Angler Restaurant,This Week,Full Week,-4.0,15.0,14.0,-19.0,-1.2666666666666666,-18.0,-1.2857142857142858
1528,Angler Restaurant,Next Week,Monday,0.0,0.0,3.0,0.0,1.0,-3.0,-1.0
1529,Angler Restaurant,Next Week,Tuesday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
201,Angler Restaurant,Next Week,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
200,Angler Restaurant,Next Week,Thursday,-2.0,-5.0,0.0,3.0,-0.6,-2.0,-2.0
197,Angler Restaurant,Next Week,Friday,-2.0,4.0,0.0,-6.0,-1.5,-2.0,-2.0
